"Data Item","Module","Source File","State Owner","Current Storage","Current Source of Truth","User Scoped?","Backend API","Prisma Model","DB Field","Offline Capable?","Duplicate?","Recommended Future Storage"
"Medication Reminders","Medicine Manager","MedicinePage.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","Yes","/api/state","AppState","JSON Blobs","Yes","Yes","Prisma PostgreSQL Medication (New Model)"
"Doctor Appointments","Appointments","AppointmentModal.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","Yes","/api/state","AppState","hospitalVisits JSON","Yes","Yes","Prisma PostgreSQL Appointment (New Model)"
"Hospital Bag Checklist","Birth Preparation","HospitalBagPage.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","Yes","/api/state","AppState","JSON Blobs","Yes","No","Prisma PostgreSQL HospitalBagItem (New Model)"
"Emergency Contacts","Emergency","EmergencyContactsPage.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","Yes","No","None","NOT FOUND","Yes","No","Prisma PostgreSQL EmergencyContact (New Model)"
"Favorite Baby Names","Baby Name Studio","BabyNamesPage.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","Yes","/api/generate-baby-names","None","NOT FOUND","Yes","No","Prisma PostgreSQL FavoriteBabyName (New Model)"
"Scan Report OCR Metadata","Medical Reports","ReportsPage.tsx","React AppContext","IndexedDB / JourneyProfile","IndexedDB","Yes","/api/scan/extract","JourneyProfile","extractedHealthData JSON","Yes","No","Prisma PostgreSQL MedicalReport (New Model)"
"Scan Image Base64 Binary","Medical Reports","ReportsPage.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","Yes","No","None","NOT FOUND","Yes","No","Client-side IndexedDB Cache + Object Storage"
"Preconception Cycle Length","Biomarker Lab","PreconceptionCycleLab.tsx","React State","localStorage bloom_pre_cycleLength","localStorage","Yes","No","None","NOT FOUND","Yes","Yes","Prisma PostgreSQL CycleProfile (New Model)"
"Preconception Cycle Logs","Biomarker Lab","PreconceptionCycleLab.tsx","React State","localStorage bloom_pre_cycleLogs","localStorage","Yes","No","None","NOT FOUND","Yes","Yes","Prisma PostgreSQL DailyBiomarkerLog (New Model)"
"Folate Daily Streak","Nutrition Hub","PreconceptionNutrition.tsx","React State","localStorage bloom_pre_folateStreak","localStorage","Yes","No","None","NOT FOUND","Yes","No","Prisma PostgreSQL SupplementAdherenceLog (New Model)"
"AI Long-Term Memories","AI & Swarm","maternalMemoryService.ts","Prisma DB","Prisma AgentMemory","Prisma AgentMemory","Yes","/api/agent/ask","AgentMemory","summary, memoryType","No","No","Prisma PostgreSQL AgentMemory"
"AI Agent Orchestrator Runs","AI & Swarm","agentOrchestrator.ts","Prisma DB","Prisma AgentRun","Prisma AgentRun","Yes","/api/agent/ask","AgentRun","intent, toolCalls","No","No","Prisma PostgreSQL AgentRun"
"Timeline Tasks & Checklist","Timeline","TimelinePage.tsx","React State","localStorage bloomnest_timeline_tasks_v1","localStorage","Yes","No","AppState","actionChecklist JSON","Yes","Yes","Prisma PostgreSQL UserChecklist (New Model)"
"Notifications","Notifications","AppContext.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","Yes","/api/state","AppState","notifications JSON","Yes","Yes","Prisma PostgreSQL Notification (New Model)"
"UI Theme Option","Settings","AppContext.tsx","React AppContext","IndexedDB bloomnest_app_state_v1","IndexedDB","No","No","None","NOT FOUND","Yes","No","Device-Local Storage (localStorage)"
