Entity,Status,Domain,Purpose,PrimaryKey,ForeignKeys,UserScoped,CanonicalOwner,CurrentStorage,TargetStorage,OfflineCache,ConflictStrategy,AIVisibility,Sensitivity,MigrationSource,MigrationTarget,SecurityRequirement,Evidence
EmergencyContact,NEW,Care Circle,Emergency contacts for one-tap SOS dialing,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (emergencyContacts),PostgreSQL EmergencyContact,Yes (Protected Local Mirror),VERSIONED,FULL,HIGH,IndexedDB emergencyContacts,PostgreSQL EmergencyContact,Mandatory JWT requireAuth middleware,EmergencyContact in types.ts & EmergencyContactsPage.tsx
AgentMemory,KEEP,AI Swarm,Extracted long-term AI memory facts & context summaries,id (UUID),userId -> User(id),Yes,PostgreSQL,Prisma AgentMemory,PostgreSQL AgentMemory,Yes,APPEND_ONLY,FULL,HIGH,Prisma AgentMemory,PostgreSQL AgentMemory,Mandatory JWT requireAuth middleware,AgentMemory model in schema.prisma & MaternalMemoryService.ts
AgentRun,KEEP,AI Swarm,AI agent execution traces & safety audit logs,id (UUID),userId -> User(id),System,PostgreSQL,Prisma AgentRun,PostgreSQL AgentRun,No,APPEND_ONLY,PARTIAL,HIGH,Prisma AgentRun,PostgreSQL AgentRun,Mandatory JWT requireAuth middleware,AgentRun model in schema.prisma & agentOrchestrator.ts
TimelineTaskState,NEW,Application,Gestational week checklist completion states,id (UUID),userId -> User(id),Yes,PostgreSQL,localStorage (bloomnest_timeline_tasks_v1),PostgreSQL TimelineTaskState,Yes,SPECIAL_RULE,PARTIAL,LOW,localStorage bloomnest_timeline_tasks_v1,PostgreSQL TimelineTaskState,Mandatory JWT requireAuth middleware,TimelinePage.tsx
AppNotification,NEW,Application,App notification drawer history & read status,id (UUID),userId -> User(id),Yes,PostgreSQL,IndexedDB (notifications),PostgreSQL AppNotification,Yes,LWW,NONE,LOW,IndexedDB notifications,PostgreSQL AppNotification,Mandatory JWT requireAuth middleware,AppNotification in types.ts & AppContext.tsx
Translation,KEEP,Application,Key-value i18n translation strings,id (Int),None,System,PostgreSQL,Prisma Translation,PostgreSQL Translation,Yes (App Bundle),VERSIONED,NONE,LOW,Prisma Translation,PostgreSQL Translation,Public read / Admin write,Translation model in schema.prisma & server.ts
UserPreferences,MERGE,Identity & Access,Preferences are scalar fields on User (preferredLanguage theme isAudioMuted),None,None,Yes,PostgreSQL,localStorage / User,User Table fields,Yes,VERSIONED,PARTIAL,LOW,localStorage / User,User Table fields,Mandatory JWT requireAuth middleware,Merged into User entity to avoid unnecessary 1:1 join overhead
AuthSession,SYSTEM / STATIC DATA,Identity & Access,Handled statelessly via JWT token headers,None,None,System,PostgreSQL,In-Memory / HTTP Header,JWT Stateless Token,Yes,SPECIAL_RULE,NONE,CRITICAL,JWT Tokens,JWT Stateless Token,Mandatory JWT signature verification,Handled by Express JWT authMiddleware
OnboardingState,MERGE,Identity & Access,Onboarding state is scalar field hasCompletedOnboarding on User,None,None,Yes,PostgreSQL,IndexedDB / User,User Table field,Yes,VERSIONED,PARTIAL,LOW,IndexedDB / User,User Table field,Mandatory JWT requireAuth middleware,Merged into User entity (User.hasCompletedOnboarding)
PrePregnancyDetails,MERGE,Maternal Journey,Pre-conception details are scalar/JSON fields on JourneyProfile,None,None,Yes,PostgreSQL,localStorage / JourneyProfile,JourneyProfile fields,Yes,VERSIONED,FULL,HIGH,localStorage / JourneyProfile,JourneyProfile fields,Mandatory JWT requireAuth middleware,Merged into JourneyProfile entity (cycleLengthDays periodDurationDays etc)
PostpartumDetails,MERGE,Maternal Journey,Postpartum birth details are scalar fields on JourneyProfile,None,None,Yes,PostgreSQL,IndexedDB / JourneyProfile,JourneyProfile fields,Yes,VERSIONED,FULL,HIGH,IndexedDB / JourneyProfile,JourneyProfile fields,Mandatory JWT requireAuth middleware,Merged into JourneyProfile entity (babyDob babyName babyGender)
AppState (Legacy),LEGACY / REMOVE,System,Legacy single-row JSON container (id=1),id (Int),None,Yes,PostgreSQL,Prisma AppState,DEPRECATED & REMOVED,No,SPECIAL_RULE,NONE,HIGH,Prisma AppState (id=1),Exploded into relational entities,Migrated to relational tables,Deprecated and replaced by normalized PostgreSQL tables
